neigh_num,name,area_sqkm,lat,long,loc
4330,Mitchell Industrial,0.592507018242524,53.574016,-113.584201,"(53.574015777213816, -113.58420113302314)"
3330,Parkview,1.546447997136887,53.524060,-113.567914,"(53.524060365765735, -113.56791414354251)"
1010,Alberta Avenue,1.680470552960208,53.568485,-113.485119,"(53.56848538240247, -113.48511916925099)"
4430,Rio Terrace,0.58275235631385,53.507314,-113.584549,"(53.507314208720445, -113.58454862363249)"
3390,Rosslyn,1.342960407469029,53.595758,-113.504287,"(53.59575774042817, -113.50428716089968)"
5360,Rideau Park,0.801660986551567,53.479032,-113.505933,"(53.47903247628979, -113.50593303233538)"
6510,Mill Woods Park,0.490425045130076,53.455865,-113.441306,"(53.4558654123871, -113.44130550418193)"
4710,Potter Greens,1.182586343944007,53.518290,-113.672602,"(53.51828990377227, -113.67260239706187)"
3010,Athlone,1.193231368463854,53.588026,-113.550982,"(53.58802604233621, -113.55098218562574)"
5505,Ambleside,3.143941653588953,53.430640,-113.600677,"(53.43064045930849, -113.60067655634595)"
6150,Daly Grove,0.94773036384456,53.449537,-113.400727,"(53.449536501619576, -113.40072733189945)"
6730,Terrace Heights,0.759785567221521,53.542081,-113.437801,"(53.542080743587455, -113.43780112956907)"
6491,Mill Creek Ravine North,0.702999092134436,53.526858,-113.477923,"(53.5268577927483, -113.47792345888683)"
4468,Stillwater,3.378483057994876,53.443256,-113.676743,"(53.44325646560284, -113.67674303906782)"
6760,Tweddle Place,1.11925626165001,53.478370,-113.459160,"(53.47836951495941, -113.45916009479342)"
4280,Lynnwood,0.895015484407992,53.515701,-113.589909,"(53.51570132512691, -113.58990902591644)"
4485,Lewis Farms Industrial,0.764302340290529,53.537548,-113.682863,"(53.53754834045398, -113.68286293615446)"
6500,Mill Woods Golf Course,1.394112724292512,53.482062,-113.430425,"(53.48206208566782, -113.43042543602212)"
3440,Westmount,1.86428063699992,53.549988,-113.539974,"(53.54998824567558, -113.53997376593313)"
2350,Homesteader,1.577835578437694,53.584720,-113.406459,"(53.58472042005873, -113.40645879985692)"
6420,Maple Ridge Industrial,3.745517412341632,53.498009,-113.356365,"(53.49800896986226, -113.35636503425494)"
4160,Gariepy,0.679194875346717,53.493596,-113.622657,"(53.49359649621341, -113.62265689700894)"
3480,Hudson,0.736101311878815,53.604587,-113.553396,"(53.60458741126075, -113.55339575677367)"
6360,King Edward Park,1.493722016611129,53.515151,-113.450570,"(53.515151157263325, -113.45056960491442)"
2720,York,1.188834252438453,53.602843,-113.430212,"(53.602843422226414, -113.43021231041563)"
4740,Webber Greens,1.133201914526517,53.530309,-113.676683,"(53.530309062031634, -113.67668332638837)"
6640,Roper Industrial,2.948895340691673,53.495800,-113.430431,"(53.49580024651547, -113.43043074541949)"
3040,Beaumaris,1.439970820821045,53.618422,-113.505007,"(53.61842233818305, -113.50500707136739)"
5540,Westbrook Estates,1.165427598207564,53.468213,-113.544452,"(53.46821272972812, -113.54445207952784)"
1280,Yellowhead Corridor West,1.164871993619891,53.582841,-113.512729,"(53.58284074814297, -113.51272869912015)"
4467,River Valley Cameron,2.026058865684556,53.472357,-113.616077,"(53.47235679378515, -113.61607674174749)"
6442,Silver Berry,2.161978600735791,53.461159,-113.381406,"(53.461158969243044, -113.38140615996561)"
5020,Aspen Gardens,0.666305114536705,53.477535,-113.545664,"(53.4775353137158, -113.54566430757839)"
5464,Heritage Valley Town Centre Area,1.034295253336269,53.406404,-113.543916,"(53.40640411821742, -113.54391587579082)"
5330,Queen Alexandra,1.235991391349683,53.512220,-113.504812,"(53.51221971864601, -113.50481243704536)"
4730,Suder Greens,0.983510227698805,53.524600,-113.677276,"(53.524600328135506, -113.67727636693809)"
2580,Northmount,1.224062074465858,53.603205,-113.479629,"(53.60320534665628, -113.47962880472019)"
6660,Rural South East,2.657041988176937,53.403098,-113.430408,"(53.40309757231569, -113.43040765913307)"
6330,Jackson Heights,1.267804997109179,53.481660,-113.410848,"(53.481660241744535, -113.41084771732)"
3070,Calder,1.34817760294786,53.588056,-113.528872,"(53.588055781248286, -113.52887205483249)"
